city id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,oksbol,55.63,8.29,48.99,87,0,9.17,DK,1604514658
1,chokurdakh,70.63,147.92,-14.19,84,0,5.84,RU,1604514658
2,grahamstown,-33.3,26.53,60.89,93,100,9.86,ZA,1604514658
3,mount gambier,-37.83,140.77,46.4,81,40,8.05,AU,1604514658
4,asau,46.43,26.4,36.0,97,0,1.39,RO,1604514658
5,bilibino,68.05,166.44,4.62,91,100,5.61,RU,1604514658
6,tobetsu,43.22,141.52,39.0,89,78,14.18,JP,1604514658
7,pangnirtung,66.15,-65.71,8.6,60,20,13.87,CA,1604514658
8,bluff,-46.6,168.33,57.0,97,79,4.0,NZ,1604514659
9,new norfolk,-42.78,147.06,45.0,69,0,1.01,AU,1604514659
10,touros,-5.2,-35.46,86.0,58,20,13.87,BR,1604514659
11,maniitsoq,65.42,-52.9,28.31,96,100,26.15,GL,1604514659
12,havre-saint-pierre,50.23,-63.6,28.4,63,1,18.34,CA,1604514659
13,mehamn,71.04,27.85,35.6,80,0,11.41,NO,1604514659
14,albany,42.6,-73.97,57.0,44,2,8.5,US,1604514430
15,cape town,-33.93,18.42,71.6,64,20,19.46,ZA,1604514572
16,wodonga,-36.12,146.88,55.4,76,90,11.41,AU,1604514419
17,busselton,-33.65,115.33,52.0,76,100,5.01,AU,1604514659
18,terme,41.21,36.97,60.8,82,75,16.11,TR,1604514659
19,salalah,17.02,54.09,77.0,65,0,4.7,OM,1604514660
20,lebu,-37.62,-73.65,55.8,61,0,9.51,CL,1604514660
21,ust-nera,64.57,143.2,1.02,85,100,6.2,RU,1604514660
22,aswan,24.09,32.91,71.19,32,0,11.5,EG,1604514660
23,uige,-7.61,15.06,70.21,93,100,0.92,AO,1604514660
24,sao joao da barra,-21.64,-41.05,77.0,61,0,13.87,BR,1604514660
25,dikson,73.51,80.55,1.47,92,0,7.85,RU,1604514660
26,homer,59.64,-151.55,21.0,44,1,3.36,US,1604514661
27,ushuaia,-54.8,-68.3,62.6,36,0,6.93,AR,1604514661
28,butaritari,3.07,172.79,80.58,73,100,12.39,KI,1604514661
29,lasa,46.62,10.7,53.01,86,40,6.93,IT,1604514661
30,coihaique,-45.58,-72.07,53.6,54,75,4.7,CL,1604514661
31,qaqortoq,60.72,-46.03,30.2,86,75,5.82,GL,1604514661
32,comayagua,14.45,-87.63,68.0,100,90,12.75,HN,1604514662
33,punta arenas,-53.15,-70.92,46.4,81,90,4.7,CL,1604514495
34,agadir,30.42,-9.6,66.2,77,100,16.11,MA,1604514565
35,dunedin,-45.87,170.5,60.89,72,85,4.94,NZ,1604514662
36,fort frances,48.6,-93.4,62.6,29,1,9.17,CA,1604514662
37,nikolskoye,59.7,30.79,46.4,87,90,6.71,RU,1604514662
38,puerto ayora,-0.74,-90.35,80.6,65,40,16.11,EC,1604514662
39,kysyl-syr,63.9,122.76,0.88,93,88,4.72,RU,1604514662
40,korla,41.76,86.15,42.28,53,4,8.75,CN,1604514663
41,teknaf,20.86,92.31,76.75,87,0,4.74,BD,1604514663
42,avera,33.19,-82.53,69.8,31,1,5.82,US,1604514663
43,russell,32.35,-85.2,71.6,33,1,4.7,US,1604514603
44,mataura,-46.19,168.86,57.0,97,100,4.0,NZ,1604514663
45,namatanai,-3.67,152.43,80.65,79,100,7.27,PG,1604514663
46,luganville,-15.53,167.17,75.2,94,75,3.38,VU,1604514663
47,port elizabeth,-33.92,25.57,68.0,88,0,6.93,ZA,1604514663
48,nelson bay,-32.72,152.15,64.4,82,40,4.7,AU,1604514663
49,caravelas,-17.71,-39.25,72.36,84,100,6.8,BR,1604514664
50,tecoh,20.75,-89.47,84.0,65,90,16.11,MX,1604514664
51,atuona,-9.8,-139.03,78.75,77,14,21.52,PF,1604514664
52,porto torres,40.84,8.4,59.0,93,0,4.7,IT,1604514664
53,khatanga,71.97,102.5,-5.98,91,18,8.46,RU,1604514664
54,port alfred,-33.59,26.89,68.7,82,88,10.13,ZA,1604514581
55,pevek,69.7,170.31,2.28,86,95,3.24,RU,1604514629
56,jamestown,42.1,-79.24,62.6,39,1,14.99,US,1604514664
57,grindavik,63.84,-22.43,44.6,75,75,32.21,IS,1604514665
58,kalianget,-7.05,113.93,83.23,77,2,10.45,ID,1604514665
59,santa isabel do rio negro,-0.41,-65.02,86.45,70,100,3.27,BR,1604514665
60,kruisfontein,-34.0,24.73,69.01,82,100,4.0,ZA,1604514665
61,rikitea,-23.12,-134.97,73.36,76,0,16.11,PF,1604514665
62,gamba,-2.65,10.0,76.64,91,100,3.47,GA,1604514665
63,agadez,19.75,10.25,73.38,24,60,6.13,NE,1604514665
64,opuwo,-18.06,13.84,73.33,23,0,10.45,NA,1604514665
65,bredasdorp,-34.53,20.04,66.2,82,42,10.29,ZA,1604514665
66,novo aripuana,-5.12,-60.38,90.05,50,100,3.58,BR,1604514666
67,tessalit,20.2,1.01,78.37,19,42,5.03,ML,1604514666
68,hambantota,6.12,81.12,79.43,82,86,2.95,LK,1604514666
69,lieksa,63.32,30.02,43.09,83,40,13.58,FI,1604514666
70,inuvik,68.35,-133.72,5.0,84,61,3.36,CA,1604514666
71,klaksvik,62.23,-6.59,50.0,100,94,24.16,FO,1604514666
72,prince albert,53.2,-105.77,44.6,70,75,8.05,CA,1604514666
73,bethel,41.37,-73.41,61.0,38,1,9.17,US,1604514495
74,hilo,19.73,-155.09,77.0,83,90,4.7,US,1604514656
75,omboue,-1.57,9.26,76.1,91,100,4.54,GA,1604514666
76,wenchi,7.74,-2.1,79.79,65,0,2.46,GH,1604514667
77,tuktoyaktuk,69.45,-133.04,10.4,85,90,12.75,CA,1604514667
78,ajdabiya,30.76,20.23,68.74,65,100,7.27,LY,1604514667
79,arrecife,28.96,-13.55,69.8,68,40,13.87,ES,1604514667
80,luderitz,-26.65,15.16,62.98,86,92,13.04,NA,1604514667
81,coquimbo,-29.95,-71.34,60.8,67,90,14.99,CL,1604514667
82,strezhevoy,60.73,77.59,33.8,97,90,11.18,RU,1604514667
83,saldanha,-33.01,17.94,66.2,72,88,5.82,ZA,1604514667
84,taihe,30.87,105.38,58.91,67,100,4.05,CN,1604514667
85,kapaa,22.08,-159.32,77.0,94,40,4.7,US,1604514668
86,plainview,40.78,-73.47,63.0,51,1,13.87,US,1604514636
87,georgetown,5.41,100.34,80.6,88,20,3.36,MY,1604514444
88,kodinsk,58.69,99.18,22.91,96,100,8.25,RU,1604514668
89,knysna,-34.04,23.05,64.4,100,90,11.41,ZA,1604514668
90,provideniya,64.38,-173.3,30.36,98,100,8.68,RU,1604514668
91,chervone,49.96,28.86,42.57,89,0,4.79,UA,1604514668
92,sinnai,39.3,9.2,64.99,82,0,5.82,IT,1604514669
93,mumford,5.26,-0.76,80.38,82,39,7.72,GH,1604514669
94,upernavik,72.79,-56.15,17.98,96,100,8.01,GL,1604514669
95,constitucion,-35.33,-72.42,59.92,58,71,21.94,CL,1604514669
96,hobart,-42.88,147.33,46.4,61,2,11.41,AU,1604514599
97,russellville,35.28,-93.13,72.0,43,1,5.82,US,1604514562
98,debre tabor,11.85,38.02,53.44,77,0,1.68,ET,1604514669
99,road town,18.42,-64.62,86.0,66,20,10.29,VG,1604514533
100,port moresby,-9.44,147.18,75.2,100,90,4.7,PG,1604514570
101,beringovskiy,63.05,179.32,36.28,92,100,17.13,RU,1604514669
102,siavonga,-16.54,28.71,82.38,55,0,5.55,ZM,1604514670
103,thompson,55.74,-97.86,26.6,92,90,3.36,CA,1604514670
104,palmerston,-12.49,130.98,84.2,74,90,4.7,AU,1604514670
105,bolshoye murashkino,55.78,44.78,39.61,95,0,6.17,RU,1604514670
106,ixtapa,20.7,-105.2,84.2,48,5,6.93,MX,1604514670
107,bani,18.28,-70.33,86.0,79,75,5.82,DO,1604514562
108,rawson,-43.3,-65.1,76.75,34,27,25.81,AR,1604514671
109,santa marta,11.24,-74.2,86.0,74,65,6.31,CO,1604514518
110,delvada,20.77,71.03,78.37,49,0,6.31,IN,1604514671
111,norman wells,65.28,-126.83,-5.8,83,75,2.24,CA,1604514671
112,halifax,44.65,-63.57,37.0,43,20,5.82,CA,1604514650
113,arraial do cabo,-22.97,-42.03,77.0,69,40,4.7,BR,1604514671
114,saint-pierre,-21.34,55.48,73.4,60,20,11.41,RE,1604514671
115,carnarvon,-24.87,113.63,71.6,83,0,17.22,AU,1604514671
116,mincivan,39.03,46.72,59.79,76,100,1.28,AZ,1604514671
117,airai,-8.93,125.41,61.3,83,67,2.33,TL,1604514672
118,sernur,56.93,49.15,37.89,95,100,6.11,RU,1604514672
119,nabire,-3.37,135.48,75.11,87,92,4.63,ID,1604514672
120,iqaluit,63.75,-68.51,8.6,71,20,5.82,CA,1604514672
121,deming,32.27,-107.76,73.4,23,1,5.82,US,1604514672
122,daru,-9.08,143.21,78.46,87,98,10.87,PG,1604514672
123,palmer,42.16,-72.33,59.0,46,1,6.93,US,1604514673
124,yellowknife,62.46,-114.35,0.0,84,75,3.36,CA,1604514603
125,cervo,43.67,-7.41,48.0,81,100,13.0,ES,1604514674
126,chimoio,-19.12,33.48,77.0,94,75,13.87,MZ,1604514674
127,katobu,-4.94,122.53,75.72,91,16,2.51,ID,1604514674
128,balabac,7.99,117.06,81.05,81,100,9.8,PH,1604514675
129,ahipara,-35.17,173.17,61.57,93,100,14.25,NZ,1604514675
130,tuy hoa,13.08,109.3,72.55,83,100,7.72,VN,1604514675
131,comodoro rivadavia,-45.87,-67.5,73.4,25,75,20.8,AR,1604514503
132,ballymena,54.86,-6.28,46.4,81,75,8.05,GB,1604514675
133,ostrovnoy,68.05,39.51,36.27,84,76,22.82,RU,1604514675
134,clyde river,70.47,-68.59,6.8,60,75,14.99,CA,1604514471
135,mahebourg,-20.41,57.7,71.6,78,75,9.17,MU,1604514676
136,eau claire,44.81,-91.5,68.0,32,1,9.17,US,1604514546
137,longyearbyen,78.22,15.64,32.0,94,75,19.46,SJ,1604514676
138,vaini,-21.2,-175.2,73.4,83,20,12.75,TO,1604514676
139,tasiilaq,65.61,-37.64,32.0,81,20,4.7,GL,1604514676
140,salisbury,51.07,-1.8,44.6,81,20,2.24,GB,1604514478
141,mar del plata,-38.0,-57.56,71.6,43,0,20.8,AR,1604514582
142,hermanus,-34.42,19.23,68.0,79,27,7.0,ZA,1604514562
143,shatrovo,56.52,64.63,35.28,86,4,12.59,RU,1604514676
144,eydhafushi,5.1,73.07,82.42,70,63,1.92,MV,1604514676
145,nanakuli,21.39,-158.15,80.6,74,1,4.7,US,1604514676
146,solnechnyy,50.72,136.63,18.66,84,9,1.3,RU,1604514677
147,kodiak,57.79,-152.41,28.4,50,20,8.05,US,1604514677
148,hiji,33.37,131.53,44.17,61,0,3.2,JP,1604514678
149,saint george,37.1,-113.58,62.6,19,1,3.36,US,1604514605
150,bambous virieux,-20.34,57.76,73.0,78,75,9.17,MU,1604514678
151,pauini,-7.71,-66.98,99.34,34,100,5.28,BR,1604514679
152,majene,-3.54,118.97,78.46,83,15,4.14,ID,1604514679
153,joensuu,62.6,29.76,43.0,86,0,6.93,FI,1604514679
154,avarua,-21.21,-159.78,71.6,88,95,24.67,CK,1604514679
155,el higo,21.77,-98.47,79.81,54,0,1.9,MX,1604514679
156,san patricio,28.02,-97.52,81.0,44,40,9.46,US,1604514680
157,vardo,70.37,31.11,37.4,79,75,35.57,NO,1604514680
158,ribeira grande,38.52,-28.7,60.8,72,75,12.75,PT,1604514680
159,jacareacanga,-6.22,-57.75,87.8,62,40,6.93,BR,1604514680
160,san policarpo,12.18,125.51,79.59,83,100,6.38,PH,1604514680
161,yaan,7.38,8.57,81.25,67,100,5.1,NG,1604514680
162,tual,-5.67,132.75,82.53,78,98,13.96,ID,1604514681
163,baruun-urt,46.68,113.28,21.29,86,77,2.55,MN,1604514681
164,biltine,14.53,20.92,83.32,19,1,9.33,TD,1604514681
165,ayagoz,47.97,80.44,22.91,89,100,2.86,KZ,1604514681
166,vung tau,10.35,107.08,78.06,85,100,8.66,VN,1604514682
167,lavrentiya,65.58,-171.0,22.86,96,100,8.3,RU,1604514682
168,torbay,47.67,-52.73,30.0,63,75,25.28,CA,1604514682
169,belmonte,-15.86,-38.88,71.6,88,90,5.82,BR,1604514682
170,fortuna,40.6,-124.16,68.0,51,1,4.21,US,1604514683
171,lingao,19.91,109.69,71.78,83,84,9.48,CN,1604514683
172,tabuleiro do norte,-5.25,-38.13,90.73,42,95,9.91,BR,1604514683
173,abilene,32.45,-99.73,73.0,46,1,20.8,US,1604514683
174,tuyen quang,21.82,105.22,66.97,76,93,1.57,VN,1604514683
175,tlacotepec,20.07,-97.87,67.17,45,44,6.38,MX,1604514683
176,westport,41.14,-73.36,62.01,51,1,6.93,US,1604514637
177,baiao,-2.79,-49.67,93.18,45,33,3.94,BR,1604514684
178,sinnamary,5.38,-52.95,83.66,72,78,11.54,GF,1604514684
179,nome,64.5,-165.41,6.8,77,75,3.36,US,1604514684
180,riyadh,24.69,46.72,73.4,28,0,3.36,SA,1604514617
181,orsha,54.52,30.41,45.09,91,100,9.69,BY,1604514684
182,cookeville,36.16,-85.5,68.0,30,1,8.05,US,1604514409
183,chuy,-33.7,-53.46,63.93,54,0,11.21,UY,1604514684
184,ancud,-41.87,-73.82,57.99,87,75,17.22,CL,1604514684
185,paita,-5.09,-81.11,75.2,64,0,14.99,PE,1604514684
186,cayenne,4.93,-52.33,78.8,100,97,5.82,GF,1604514685
187,cabo san lucas,22.89,-109.91,87.01,58,20,3.36,MX,1604514685
188,severo-kurilsk,50.68,156.12,36.52,89,96,27.22,RU,1604514685
189,abashiri,44.02,144.27,37.99,69,52,1.99,JP,1604514685
190,taltal,-25.4,-70.48,63.81,61,27,7.56,CL,1604514685
191,hofn,64.25,-15.21,51.8,43,40,19.46,IS,1604514685
192,necochea,-38.55,-58.74,78.01,44,95,25.01,AR,1604514686
193,bara,10.37,10.73,86.0,33,51,9.17,NG,1604514686
194,esperance,-33.87,121.9,48.2,81,100,5.82,AU,1604514686
195,eston,51.15,-108.75,55.4,46,75,14.99,CA,1604514602
196,krasnyy chikoy,50.36,108.75,26.4,96,100,2.3,RU,1604514686
197,udachnyy,66.42,112.4,-4.0,83,90,2.24,RU,1604514686
198,maridi,4.92,29.47,71.87,87,0,1.68,SS,1604514686
199,port lincoln,-34.73,135.87,53.6,62,80,11.05,AU,1604514686
200,buala,-8.14,159.59,81.19,78,100,6.8,SB,1604514687
201,narsaq,60.92,-46.05,30.2,86,75,5.82,GL,1604514687
202,scalea,39.81,15.8,62.69,70,19,2.21,IT,1604514687
203,mogadishu,2.04,45.34,79.27,84,44,12.73,SO,1604514687
204,yar-sale,66.83,70.83,21.76,98,100,10.4,RU,1604514678
205,ola,59.58,151.28,15.78,88,92,16.17,RU,1604514687
206,mamallapuram,12.63,80.17,80.6,94,75,4.7,IN,1604514687
207,idlib,35.93,36.63,60.8,100,75,3.36,SY,1604514687
208,saint-augustin,51.23,-58.65,29.46,72,100,18.86,CA,1604514688
209,dingle,11.0,122.67,76.06,89,100,2.59,PH,1604514688
210,faanui,-16.48,-151.75,79.61,79,94,16.53,PF,1604514688
211,belen,36.49,36.22,60.8,100,75,3.36,TR,1604514688
212,coracao de jesus,-16.69,-44.37,78.8,54,20,2.17,BR,1604514688
213,ponta do sol,32.67,-17.1,62.6,67,40,12.75,PT,1604514688
214,contramaestre,20.3,-76.24,86.0,62,75,11.41,CU,1604514688
215,kamenka,51.32,42.77,42.01,94,50,6.98,RU,1604514688
216,mount isa,-20.73,139.5,75.2,41,0,8.05,AU,1604514643
217,beian,63.66,9.57,44.6,87,75,31.09,NO,1604514688
218,sosva,59.18,61.86,35.2,89,98,9.55,RU,1604514689
219,pueblo nuevo,23.38,-105.38,79.43,31,34,3.56,MX,1604514689
220,bathsheba,13.22,-59.52,87.8,66,40,18.34,BB,1604514689
221,hithadhoo,-0.6,73.08,83.39,70,40,4.36,MV,1604514689
222,hovd,48.01,91.64,23.09,92,2,2.26,MN,1604514689
223,huancavelica,-12.77,-74.98,51.82,52,49,8.63,PE,1604514689
224,mukhen,48.1,136.1,25.52,86,93,12.03,RU,1604514689
225,rossland,49.08,-117.8,44.01,97,100,3.0,CA,1604514645
226,ust-barguzin,53.45,108.98,28.74,92,56,10.2,RU,1604514690
227,tilichiki,60.47,166.1,34.07,100,100,24.87,RU,1604514690
228,college,64.86,-147.8,-27.4,67,20,1.07,US,1604514690
229,brumadinho,-20.14,-44.2,80.6,47,75,6.93,BR,1604514690
230,zemaiciu naumiestis,55.36,21.7,49.03,75,58,11.99,LT,1604514690
231,kendari,-3.94,122.5,76.46,87,100,1.9,ID,1604514690
232,iralaya,15.0,-83.23,79.95,87,100,9.98,HN,1604514690
233,cherskiy,68.75,161.3,5.41,86,100,5.41,RU,1604514691
234,chiredzi,-21.05,31.67,71.91,78,82,3.74,ZW,1604514691
235,axim,4.87,-2.24,79.99,82,72,5.79,GH,1604514691
236,jalu,29.03,21.55,66.18,61,45,8.3,LY,1604514691
237,kulhudhuffushi,6.62,73.07,82.24,64,0,2.15,MV,1604514691
238,grand gaube,-20.01,57.66,73.0,70,73,5.01,MU,1604514691
239,okha,53.57,142.95,27.54,96,100,26.17,RU,1604514691
240,ternate,0.8,127.4,80.11,80,24,2.75,ID,1604514692
241,andenes,69.31,16.12,42.01,86,75,14.99,NO,1604514692
242,leningradskiy,69.38,178.42,3.7,78,72,7.56,RU,1604514692
243,souillac,-20.52,57.52,71.6,78,75,9.17,MU,1604514692
244,gizo,-8.1,156.84,82.63,76,100,8.37,SB,1604514693
245,cockburn town,21.46,-71.14,84.2,70,75,13.87,TC,1604514693
246,flinders,-34.58,150.86,66.99,83,100,5.01,AU,1604514693
247,lanxi,29.22,119.48,52.43,81,38,3.83,CN,1604514693
248,francisco sa,-16.48,-43.49,78.8,54,20,2.51,BR,1604514693
249,novyy urengoy,66.08,76.63,11.61,96,100,10.31,RU,1604514693
250,sorland,67.67,12.69,42.8,81,75,25.28,NO,1604514694
251,baculin,7.45,126.58,77.9,78,100,4.52,PH,1604514694
252,honningsvag,70.98,25.97,39.2,80,75,19.46,NO,1604514694
253,victoria,22.29,114.16,72.0,76,2,19.1,HK,1604514397
254,shaturtorf,55.57,39.42,41.2,94,73,5.73,RU,1604514694
255,port blair,11.67,92.75,80.89,79,5,4.9,IN,1604514694
256,tura,25.52,90.22,63.86,57,0,0.65,IN,1604514695
257,bengkulu,-3.8,102.27,75.49,87,100,4.76,ID,1604514695
258,ucluelet,48.93,-125.55,54.0,100,90,14.99,CA,1604514664
259,pisco,-13.7,-76.22,66.99,77,20,11.41,PE,1604514695
260,zalantun,48.0,122.72,25.11,90,0,5.44,CN,1604514695
261,reyes,-14.32,-67.38,100.4,37,20,3.36,BO,1604514695
262,poya,-21.35,165.15,72.03,84,61,2.68,NC,1604514695
263,gogrial,8.53,28.1,82.71,51,58,2.8,SS,1604514696
264,rohatyn,49.41,24.61,46.4,87,40,8.95,UA,1604514696
265,lompoc,34.64,-120.46,69.8,59,1,8.86,US,1604514450
266,mancio lima,-7.61,-72.9,95.0,53,75,5.82,BR,1604514696
267,naryan-mar,67.67,53.09,33.51,94,34,11.07,RU,1604514696
268,manzil salim,35.86,8.48,64.4,42,20,6.93,TN,1604514696
269,rio grande,-32.03,-52.1,69.8,46,75,17.22,BR,1604514626
270,rio rancho,35.23,-106.66,69.01,27,1,5.82,US,1604514543
271,hasaki,35.73,140.83,44.6,87,75,8.05,JP,1604514696
272,geraldton,-28.77,114.6,59.0,93,0,8.05,AU,1604514669
273,gat,31.61,34.76,68.0,16,16,4.0,IL,1604514482
274,barrow,71.29,-156.79,26.6,73,90,29.97,US,1604514649
275,kamennomostskiy,44.3,40.19,50.68,74,91,3.27,RU,1604514697
276,carauari,-4.88,-66.9,97.0,40,69,3.65,BR,1604514697
277,dicabisagan,17.08,122.42,75.51,84,100,10.94,PH,1604514697
278,sao filipe,14.9,-24.5,77.25,80,100,7.23,CV,1604514697
279,rancho palos verdes,33.74,-118.39,75.99,53,5,3.74,US,1604514697
280,tezu,27.92,96.17,65.01,82,29,4.83,IN,1604514698
281,nanortalik,60.14,-45.24,33.31,89,100,5.1,GL,1604514546
282,tatarskaya kargala,51.95,55.17,42.8,62,0,6.71,RU,1604514698
283,lebyazhye,55.27,66.49,35.13,86,0,14.12,RU,1604514698
284,aklavik,68.22,-135.01,5.0,84,90,5.82,CA,1604514698
285,camacha,33.08,-16.33,59.0,87,75,8.05,PT,1604514699
